SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE000188,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,南港展覽館-W1-南港路一段,TAIFO,,115,臺北市,南港區,115臺北市南港區南港路一段67號對面候車亭,121.6158039,25.0553104,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Twtc Nangang Exhibition Hall- W1-Sec. 1, Nangang rd.",Taipei City,Nangang District,"The bus station on the opposite side of No. 67, Sec. 1, Nangang Rd., Nangang Dist., Taipei City?115?, Taiwan (R.O.C.)"
TPEE000189,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,捷運南港站-W-忠孝東路七段,TAIFO,,115,臺北市,南港區,115臺北市南港區忠孝東路七段與興中路口東北側候車亭,121.608352,25.0524,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Nangang  station-W-Sec. 7, Zhongxiao E. Rd. ",Taipei City,Nangang District,"The bus station on the northeast side of Sec. 7, Zhongxiao E. Rd and Xingzhong Rd Intersection, Nangang Distt,  Taipei City 115 .(R.O.C.)"
TPEE000190,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,環東大道口-經貿二路,TAIFO,,115,臺北市,南港區,115臺北市南港區經貿二路105巷與經貿一路交岔口東北側候車亭(經貿一路本線上),121.6193014,25.0594189,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Huandong Blvd. Intersection-Ln. 105, Jingmao 2nd rd.",Taipei City,Nangang District,"The bus station on the northeast side of Ln. 105, Jingmao 2nd Rd., Nangang Dist.,Jingmao 1st Rd., Nangang Dist., Taipei City 115 , Taiwan (R.O.C.)"
TPEE000191,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,環東大道口-經貿二路,TAIFO,,115,臺北市,南港區,115臺北市南港區經貿二路近157巷口候車亭,121.6185082,25.0601105,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Huandong Avenue Exit - Economic and Trade 2nd Road,Taipei City,Nangang District,"The bus station No. 157, Jingmao 2nd Rd., Nangang Dist., Taipei City115, Taiwan (R.O.C.)"
TPEE000192,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,青年公園-E-青年路,TAIFO,,108,臺北市,萬華區,108臺北市萬華區青年路6號對面候車亭,121.5062175,25.0259378,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Youth Park-Youth E-Qingnian rd.,Taipei City,Wanhua District,"The bus station on the opposite side of No. 6, Qingnian Rd., Wanhua Dist., Taipei City 108 , Taiwan (R.O.C.)"
TPEE000193,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,青年新城-E-青年路,TAIFO,,108,臺北市,萬華區,108臺北市萬華區青年路32號對面候車亭,121.5046729,25.0254715,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,youth community-E-Qingnian Rd.,Taipei City,Wanhua District,"The bus station on the opposite side of No. 32, Qingnian Rd., Wanhua Dist., Taipei City108 , Taiwan (R.O.C.)"
TPEE000194,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,青年路-E-青年路,TAIFO,,108,臺北市,萬華區,108臺北市萬華區青年路80號對面候車亭,121.5027548,25.0232161,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Qiangnian Rd.-Qingnian rd.,Taipei City,Wanhua District,"The bus station on the opposite side of No. 80, Qingnian Rd., Wanhua Dist., Taipei City 108 , Taiwan (R.O.C.)"
TPEE000196,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,中華路北站-S1-中華路一段,TAIFO,,108,臺北市,萬華區,108臺北市萬華區中華路一段94號前候車亭,121.5086686,25.0445626,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Zhonghua Rd. N. Stop -RoadsideS1-Sec. 1, Zhonghua rd.",Taipei City,Wanhua District,"The bus station next to No. 94, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City?108, Taiwan (R.O.C.)"
TPEE000197,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,中正新城-N-青年路,TAIFO,,108,臺北市,萬華區,108臺北市萬華區青年路56號對面候車亭,121.503143,25.024814,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Zhongzheng New Village N-Qingnian rd.,Taipei City,Wanhua District,"The bus station on the opposite side of No. 56, Qingnian Rd., Wanhua District, Taipei City 108, Taiwan,  (R.O.C.)"
TPEE000198,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,萬大國小-N1-萬大路,TAIFO,,108,臺北市,萬華區,108臺北市萬華區萬大路333號號旁候車亭,121.50021,25.02388,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Wanda Elementary School-N1-Wanda Rd.,Taipei City,Wanhua District,"The bus station next to No. 333, Wanda Rd., Wanhua Dist., Taipei City 108 , Taiwan (R.O.C.)"
