Longitude(經度),Latitude(緯度),BSM_BUSSTO(公車站牌位置ID),BSM_CHINES(公車站牌名)
121.5222856,25.08955151,1001155,大南路口
121.622188,25.019362,1000726,南深路80號
121.5565074,25.12493961,874,新安路四
121.59534,24.96784,56097,貓空站(小天空 
121.6245142,25.03744788,1001308,舊莊二站
121.4957821,25.10414154,600,工業區
121.5995042,25.0248352,1001259,麗山橋
121.52774,25.140303,188,行義路四
121.554741,25.12477092,60146,新安路三
121.5091643,25.02914787,1851,三元南海路口
121.55887,25.12356,726,東方寺
121.580172,25.051204,1535,八德中坡路口
121.51032,25.04605,4747,臺北郵局(撫臺 
121.5206075,25.11010254,7247,明德路
121.522911,25.04294208,1914,成功中學(林森)
121.55896,25.12353,55013,東方寺
121.5718304,25.04024924,20399,市立工農(正門)
121.4966523,25.14482511,3995,慈航寺
121.5624368,25.01375708,2194,大我新舍
121.6057879,25.05581306,1715,興華路
121.5696185,25.1351781,4815,下菁礐
121.5591015,25.04543762,1500,市民光復路口
121.5423715,25.04435706,1398,懷生國小
121.542732,25.047318,20356,中崙
121.5205,25.07987117,1297,明勝里
121.50977,25.1419,5067,義方國小
121.49455,25.09729166,5979,福安消防隊
121.5552815,25.00171183,1000751,興隆路口(辛亥)
121.577745,25.117197,1001325,內雙溪自然中 
121.5688824,25.118866,9469,半嶺
121.5248457,25.05073835,1273,林森北路一
121.5226783,25.10200822,14671,捷運芝山站(福 
121.5851995,24.98134487,1000859,指南宮
121.5448503,25.04468662,1586,微風廣場
121.567575,25.140982,1001441,菁山里(三)
121.5259541,25.10679142,684,石油新村
121.5636582,25.01237778,6016,臥龍新村
121.56738,25.11631,14402,川瀨
121.58197,25.056375,50407,週美里一
121.514253,25.141676,1000257,新民路底
121.5500388,25.12496845,865,新安
121.521959,25.02884,2313,捷運古亭站(杭 
121.515774,25.141536,233,東昇路口
121.579329,25.012347,1702,富德公墓
121.502414,25.11446,203,北投垃圾焚化 
