SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEE000377,臺北市政府公共運輸處,空軍司令部-E1-北安路,TAIFO,中山區,104臺北市中山區北安路392號旁候車亭,121.540313,25.079376
TPEE000378,臺北市政府公共運輸處,潭美公園-W-南京東路六段,TAIFO,內湖區,114臺北市內湖區南京東路六段399號對面候車亭,121.5856726,25.0596302
TPEE000379,臺北市政府公共運輸處,文德2號公園-N-文德路,TAIFO,內湖區,114臺北市內湖區文德路208巷40號對面候車亭,121.5836592,25.0769242
TPEE000380,臺北市政府公共運輸處,碧湖山莊-W-內湖路二段,TAIFO,內湖區,114臺北市內湖區內湖路二段179巷238號對面候車亭,121.5842993,25.0846381
TPEE000382,臺北市政府公共運輸處,康寧醫院-N-成功路五段,TAIFO,內湖區,114臺北市內湖區成功路五段436號候車亭,121.607307,25.07533
TPEE000383,臺北市政府公共運輸處,民權隧道-W-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段282號對面候車亭,121.604858,25.072385
TPEE000384,臺北市政府公共運輸處,麗山新村-W-環山路二段,TAIFO,內湖區,114臺北市內湖區環山路二段69號對面候車亭 ,121.574226,25.085227
TPEE000385,臺北市政府公共運輸處,內湖焚化廠-W-安康路,TAIFO,內湖區,114臺北市內湖區安康路228巷15號對面候車亭,121.603454,25.062477
TPEE000386,臺北市政府公共運輸處,福華商場-E-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段186之1號旁候車亭,121.593383,25.068735
TPEE000387,臺北市政府公共運輸處,空軍司令部-W2-北安路,TAIFO,中山區,104臺北市中山區北安路401號旁候車亭,121.541702,25.079643
TPEE000388,臺北市政府公共運輸處,芝蘭新村-N-仰德大道一段,TAIFO,士林區,111臺北市士林區仰德大道一段91巷1號附近候車亭,121.537353,25.107299
TPEE000389,臺北市政府公共運輸處,民權東路六段-W-民權東路六段,TAIFO,內湖區,114臺北市內湖區民權東路六段201號旁候車亭,121.598449,25.067247
